Dias,Factor Toneladas,Factor Kilometros
90,0.4311036235386924,0.3315073645228377
150,0.27168414466732704,0.2092605177331057
180,0.23013130098953066,0.176525032609349
240,0.1682250877051299,0.12933237543805773
365,0.11393482355920616,0.08765784799997817
