Tons,Kms,Edad,Sesgo,Model,ID
2160.5599999999995,1783.8999999999996,288.8333333333333,1,A,AWOU5IMX
43097.509999999995,34197.600000000035,5596.783333333334,1,A,AWOU5IMX
3722.0000000000005,2991.1,482.96666666666664,0,A,AWOU5IMX
2055.1799999999994,1582.8999999999999,265.03333333333336,1,A,AWOU5IMX
13660.570000000002,10144.199999999993,1725.7666666666667,0,A,AWOU5IMX
11095.31000000001,9044.500000000007,1468.7333333333333,1,A,AWOU5IMX
52461.56999999994,40903.80000000006,6827.333333333333,1,A,AWOU5IMX
7493.52,5755.899999999993,961.4166666666666,1,A,AWOU5IMX
3456.660000000001,2669.2000000000016,422.93333333333334,1,A,AWOU5IMX
7106.460000000001,5707.700000000002,970.1,1,A,AWOU5IMX
16624.530000000006,12907.099999999995,2108.8166666666666,1,A,AWOU5IMX
2628.39,2190.5000000000005,348.9166666666667,1,A,AWOU5IMX
13615.20000000002,10670.900000000016,1815.9833333333333,1,A,AWOU5IMX
2526.54,2142.1,354.1333333333333,1,A,AWOU5IMX
9865.750000000005,7877.699999999992,1287.3,1,A,AWOU5IMX
18230.360000000004,13926.100000000002,2311.7833333333333,1,A,AWOU5IMX
2331.7499999999986,1735.5,288.51666666666665,1,A,AWOU5IMX
16452.36000000001,12856.79999999999,2081.733333333333,1,A,AWOU5IMX
13569.890000000025,10859.300000000008,1775.9833333333333,1,A,AWOU5IMX
13085.83999999999,10169.39999999999,1749.4,1,A,AWOU5IMX
23625.699999999983,18764.79999999999,3070.9666666666667,1,A,AWOU5IMX
14655.049999999988,11819.90000000001,1932.1833333333334,1,A,AWOU5IMX
12573.88999999999,9728.600000000002,1640.2833333333333,1,A,AWOU5IMX
2444.39,1025.6,165.15,1,B,6VABNMFW
7221.030000000004,3148.9000000000005,521.4666666666667,1,B,6VABNMFW
55230.470000000096,20899.499999999993,3563.8,1,B,6VABNMFW
32250.23999999999,12285.299999999992,2068.0,0,B,6VABNMFW
34922.86999999999,12897.20000000001,2257.1833333333334,0,B,6VABNMFW
25146.30000000001,10092.300000000003,1716.2833333333333,1,B,6VABNMFW
38794.74,14124.099999999997,2451.133333333333,1,B,6VABNMFW
26019.32999999996,9869.699999999999,1765.0333333333333,1,B,6VABNMFW
3567.9200000000005,1248.6999999999996,203.8,1,B,6VABNMFW
14523.00000000001,5733.599999999995,945.7166666666667,1,B,6VABNMFW
6146.37,2168.7999999999997,353.8666666666667,1,B,6VABNMFW
12665.620000000006,4906.9,842.8166666666667,1,B,6VABNMFW
48607.56000000007,19151.40000000003,3251.366666666667,1,B,6VABNMFW
52391.54000000002,20106.199999999953,3426.133333333333,1,B,6VABNMFW
43905.88,16625.30000000001,2867.0666666666666,1,B,7PML7DX0
41645.849999999955,16414.19999999999,2785.25,1,B,7PML7DX0
11253.119999999999,4156.5999999999985,711.1166666666667,0,B,7PML7DX0
3917.1800000000003,1509.3999999999996,270.85,1,B,7PML7DX0
4762.140000000002,1618.2999999999993,273.6666666666667,1,B,7PML7DX0
22020.209999999992,8771.900000000003,1559.0,0,B,7PML7DX0
32093.160000000014,12234.899999999987,2093.116666666667,1,B,7PML7DX0
26799.56000000003,10436.400000000001,1761.8666666666666,1,B,7PML7DX0
53951.980000000134,20385.6,3522.95,1,B,7PML7DX0
12335.220000000001,4357.499999999998,747.35,1,B,7PML7DX0
15217.310000000007,5752.699999999999,978.8666666666667,1,B,7PML7DX0
5613.869999999998,2277.9000000000015,379.95,1,B,7PML7DX0
29106.609999999968,11924.899999999983,2010.4833333333333,1,B,7PML7DX0
10001.169999999996,4009.200000000001,691.9333333333333,1,B,7PML7DX0
40384.70000000005,14648.700000000006,2516.7,1,B,7PML7DX0
21143.5,8258.500000000002,1436.0833333333333,1,B,7PML7DX0
3622.979999999999,2697.1999999999994,447.1166666666667,1,A,WVSI44XE
8404.919999999996,6539.099999999999,1078.8666666666666,1,A,WVSI44XE
6113.020000000002,4887.999999999998,817.5333333333333,1,A,WVSI44XE
3604.4099999999985,2689.8999999999996,458.0,1,A,WVSI44XE
6863.990000000002,5416.800000000001,882.4333333333333,1,A,WVSI44XE
21920.679999999986,16546.90000000001,2792.95,0,A,WVSI44XE
944.3099999999998,688.6,115.45,1,A,WVSI44XE
15320.20999999998,12177.999999999984,2017.85,0,A,WVSI44XE
6066.04,4393.199999999995,727.25,1,A,WVSI44XE
13793.369999999999,10646.299999999992,1808.5166666666667,1,A,WVSI44XE
8326.169999999995,6141.300000000003,1030.9166666666667,1,A,WVSI44XE
35049.85,27707.9,4578.233333333334,1,A,WVSI44XE
10456.500000000007,8142.099999999997,1345.0166666666667,1,A,WVSI44XE
11088.500000000004,8902.800000000003,1429.3166666666666,1,A,WVSI44XE
13181.310000000018,9867.599999999999,1653.1333333333334,1,A,WVSI44XE
11250.949999999984,8727.49999999999,1405.75,1,A,WVSI44XE
14683.74999999999,11532.499999999987,2010.4333333333334,1,A,WVSI44XE
5905.430000000004,4660.499999999999,771.3166666666667,1,A,WVSI44XE
6706.4100000000035,5621.600000000003,906.5166666666667,1,A,WVSI44XE
12531.670000000007,9378.100000000004,1570.8,1,A,WVSI44XE
6629.95,4978.700000000002,826.15,1,A,WVSI44XE
3015.5299999999993,2399.8,396.73333333333335,1,A,WVSI44XE
19513.56,15338.900000000005,2595.116666666667,1,A,WVSI44XE
26075.979999999985,20180.700000000037,3321.266666666667,1,A,WVSI44XE
24718.08000000002,19941.60000000003,3381.633333333333,1,A,WVSI44XE
