Tons,Kms,Edad,Sesgo,Model,ID
10845.429999999998,8663.599999999995,1411.6,1,A,AWOU5IMX
9825.669999999991,8032.299999999997,1290.9666666666667,1,A,AWOU5IMX
4599.049999999999,3592.800000000002,589.2333333333333,1,A,AWOU5IMX
14383.369999999999,11434.199999999999,1858.5666666666666,1,A,AWOU5IMX
13155.169999999998,10007.600000000004,1687.1166666666666,0,A,AWOU5IMX
5378.440000000003,4040.4000000000005,675.2666666666667,1,A,AWOU5IMX
2721.4600000000014,2119.7000000000003,336.71666666666664,1,A,AWOU5IMX
7795.2499999999945,5891.9000000000015,960.3,1,A,AWOU5IMX
1384.9599999999998,1203.9999999999995,196.35,0,A,AWOU5IMX
893.1600000000001,784.8000000000001,130.26666666666668,1,A,AWOU5IMX
2626.9600000000014,2298.9,356.8333333333333,1,A,AWOU5IMX
11204.53,8296.7,1433.6,1,A,AWOU5IMX
5437.03,4200.300000000002,697.7833333333333,1,A,AWOU5IMX
2542.7600000000016,2269.5,364.48333333333335,1,A,AWOU5IMX
2078.3000000000006,1484.7000000000005,252.2,1,A,AWOU5IMX
1104.9899999999998,859.9000000000001,142.08333333333334,1,A,AWOU5IMX
4762.980000000003,3653.7000000000016,602.3666666666667,1,A,AWOU5IMX
3060.050000000001,2249.1000000000004,367.1166666666667,1,A,AWOU5IMX
3160.649999999999,2673.9000000000015,442.3,1,A,AWOU5IMX
17062.239999999987,13670.300000000001,2254.4666666666667,1,A,AWOU5IMX
1688.62,1221.5,198.81666666666666,1,A,AWOU5IMX
14647.38,11309.899999999978,1853.4833333333333,1,A,AWOU5IMX
11281.630000000003,9126.200000000003,1485.2,1,A,AWOU5IMX
7256.289999999997,5490.8,899.0,1,A,AWOU5IMX
12898.029999999997,10100.000000000007,1716.5,1,A,AWOU5IMX
5007.810000000001,3965.8999999999996,645.7833333333333,1,A,AWOU5IMX
17876.459999999995,14428.400000000023,2382.3166666666666,1,A,AWOU5IMX
22774.489999999994,17432.700000000004,2878.15,1,A,AWOU5IMX
7109.740000000005,5546.199999999999,906.25,1,A,AWOU5IMX
7173.030000000004,5588.100000000001,917.8666666666667,1,A,AWOU5IMX
16766.99000000002,13138.599999999995,2221.383333333333,1,A,AWOU5IMX
1538.01,1217.1999999999998,191.38333333333333,1,A,AWOU5IMX
8049.120000000003,6369.300000000004,1018.85,1,A,AWOU5IMX
7439.78,6064.3,993.7,1,A,AWOU5IMX
10656.789999999995,8497.100000000002,1388.9333333333334,1,A,AWOU5IMX
18617.26999999998,14729.80000000001,2416.6666666666665,1,A,AWOU5IMX
5362.499999999998,2419.099999999998,395.21666666666664,1,B,6VABNMFW
10477.529999999995,4202.1,731.3333333333334,1,B,6VABNMFW
18260.67,6907.099999999999,1166.5833333333333,1,B,6VABNMFW
1899.92,663.8000000000001,110.98333333333333,1,B,6VABNMFW
22463.860000000004,8703.0,1514.4166666666667,1,B,6VABNMFW
14058.009999999998,4915.4,821.95,1,B,6VABNMFW
6111.980000000001,2466.5,413.53333333333336,1,B,6VABNMFW
5657.170000000002,2102.2000000000007,354.6166666666667,1,B,6VABNMFW
9395.73,3713.700000000002,622.7333333333333,0,B,6VABNMFW
53217.310000000034,20260.09999999999,3488.8333333333335,0,B,6VABNMFW
22395.680000000022,8473.300000000001,1463.95,1,B,6VABNMFW
21407.020000000008,7834.5,1356.7333333333333,1,B,6VABNMFW
43298.740000000005,16182.700000000003,2842.483333333333,1,B,6VABNMFW
60000.06999999994,23496.100000000024,3957.1833333333334,1,B,6VABNMFW
9550.719999999998,3689.099999999998,634.45,1,B,6VABNMFW
25590.349999999995,9470.699999999997,1645.9166666666667,1,B,6VABNMFW
43945.710000000145,17164.500000000015,2889.866666666667,1,B,6VABNMFW
6966.899999999995,2675.600000000001,451.75,1,B,7PML7DX0
2921.06,1104.8999999999996,190.81666666666666,1,B,7PML7DX0
11351.980000000003,4218.100000000001,726.4833333333333,1,B,7PML7DX0
29504.039999999986,11237.90000000001,1937.6166666666666,1,B,7PML7DX0
5836.949999999999,2595.100000000001,432.48333333333335,1,B,7PML7DX0
