Tons,Kms,Edad,Sesgo,Model,ID
11732.76000000001,4457.7,776.1166666666667,1,B,6VABNMFW
30860.47999999997,11700.000000000004,2010.8166666666666,1,B,6VABNMFW
40095.29000000002,15392.800000000005,2573.9,1,B,6VABNMFW
15981.29999999999,6220.999999999999,1066.8833333333334,1,B,6VABNMFW
39789.779999999984,15112.400000000016,2594.2166666666667,1,B,6VABNMFW
25238.129999999997,9816.5,1678.2,1,B,6VABNMFW
15610.409999999998,6007.700000000002,1024.4,1,B,7PML7DX0
12531.250000000004,4640.099999999999,801.2,1,B,7PML7DX0
9248.299999999994,3574.5000000000005,608.2833333333333,1,B,7PML7DX0
39302.499999999956,15506.49999999998,2627.3333333333335,1,B,7PML7DX0
5373.829999999999,1978.5000000000002,338.8666666666667,1,B,7PML7DX0
11696.749999999989,4416.199999999999,744.35,0,B,7PML7DX0
15697.459999999995,5822.400000000002,1003.7166666666667,1,B,7PML7DX0
7878.180000000002,3219.6000000000004,562.3166666666667,1,B,7PML7DX0
4931.159999999999,1714.4000000000005,287.85,1,B,7PML7DX0
7813.069999999998,3236.8999999999987,553.85,0,B,7PML7DX0
7411.720000000007,2915.500000000002,483.8,1,B,7PML7DX0
17685.270000000008,6635.399999999997,1131.8,1,B,7PML7DX0
50038.67,19283.7,3279.383333333333,1,B,7PML7DX0
10277.87,3844.5999999999976,649.2666666666667,1,B,7PML7DX0
6986.950000000002,2444.200000000001,418.51666666666665,1,B,7PML7DX0
11580.239999999998,4344.599999999998,724.2666666666667,1,B,7PML7DX0
23769.709999999985,9009.599999999995,1535.8166666666666,1,B,7PML7DX0
20959.680000000008,8001.600000000005,1361.5333333333333,1,B,7PML7DX0
29079.21999999996,11844.499999999996,2039.0666666666666,1,B,7PML7DX0
14573.590000000013,5758.600000000004,981.9,1,B,7PML7DX0
3642.2000000000003,1425.0,241.86666666666667,1,B,7PML7DX0
49572.460000000014,18439.99999999999,3155.383333333333,1,B,7PML7DX0
8574.160000000003,3262.5999999999995,546.9833333333333,1,B,7PML7DX0
8866.650000000001,3440.2000000000007,586.55,1,B,7PML7DX0
13681.509999999986,10548.299999999996,1754.2833333333333,1,A,WVSI44XE
6138.479999999997,4822.600000000001,808.1833333333333,1,A,WVSI44XE
6645.0399999999945,5192.399999999999,837.5166666666667,1,A,WVSI44XE
13132.670000000007,9624.300000000008,1653.2666666666667,1,A,WVSI44XE
9012.759999999998,7153.000000000002,1176.0166666666667,0,A,WVSI44XE
7787.150000000001,6293.799999999997,1052.85,1,A,WVSI44XE
6558.270000000003,5025.2999999999965,838.8666666666667,0,A,WVSI44XE
15353.56000000001,11573.900000000018,1919.55,1,A,WVSI44XE
22798.400000000023,17727.0,2961.983333333333,1,A,WVSI44XE
5093.190000000004,3976.7999999999997,635.7333333333333,1,A,WVSI44XE
48467.740000000114,37915.09999999998,6300.666666666667,1,A,WVSI44XE
5479.810000000002,4012.900000000005,682.2666666666667,1,A,WVSI44XE
17351.300000000007,13436.699999999986,2188.4333333333334,1,A,WVSI44XE
6608.979999999998,5164.800000000002,898.5,1,A,WVSI44XE
2208.2799999999997,1742.7,285.98333333333335,1,A,WVSI44XE
2386.92,1962.5000000000005,380.73333333333335,1,A,WVSI44XE
5502.96,4241.8,765.65,1,A,WVSI44XE
34454.47000000002,26915.500000000022,4473.05,1,A,WVSI44XE
2002.6300000000006,1563.4999999999995,254.0,1,A,WVSI44XE
12457.839999999986,9851.39999999999,1622.35,1,A,WVSI44XE
7633.900000000001,5853.400000000007,974.1166666666667,1,A,WVSI44XE
1298.3899999999994,1112.4,174.48333333333332,1,A,WVSI44XE
10104.950000000015,7860.999999999995,1299.7333333333333,1,A,WVSI44XE
19068.500000000015,14973.499999999985,2513.7,1,A,WVSI44XE
8943.469999999988,7288.400000000001,1205.6833333333334,1,A,WVSI44XE
3067.239999999999,2250.1999999999985,387.21666666666664,1,A,WVSI44XE
101218.63000000014,78957.39999999995,13218.616666666667,1,A,WVSI44XE
4479.9400000000005,3596.7999999999984,576.9333333333333,1,A,WVSI44XE
18598.71999999999,14218.799999999988,2366.3333333333335,1,A,WVSI44XE
4164.600000000001,3123.5999999999985,516.0833333333334,1,A,12ZHA8WI
20319.33999999999,15235.300000000008,2522.9166666666665,1,A,12ZHA8WI
6334.299999999998,4745.199999999999,794.7,1,A,12ZHA8WI
5981.580000000001,4350.399999999999,703.3833333333333,1,A,12ZHA8WI
6758.379999999995,5189.300000000006,858.5833333333334,1,A,12ZHA8WI
4243.580000000002,3248.7000000000003,558.2833333333333,1,A,12ZHA8WI
5007.16,3868.7000000000025,626.4333333333333,0,A,12ZHA8WI
10272.960000000006,8107.4999999999945,1309.7,1,A,12ZHA8WI
6157.56,4830.000000000003,791.8333333333334,0,A,12ZHA8WI
4738.929999999997,3814.1999999999985,642.8333333333334,1,A,12ZHA8WI
5485.179999999999,4595.699999999997,755.9833333333333,1,A,12ZHA8WI
47959.05000000001,38358.999999999985,6314.366666666667,1,A,12ZHA8WI
4280.380000000001,2958.3,502.15,1,A,12ZHA8WI
7978.560000000008,6172.800000000002,1040.3333333333333,1,A,12ZHA8WI
4503.8200000000015,3354.6000000000013,563.15,1,A,12ZHA8WI
7244.680000000004,5476.4000000000015,933.4,1,A,12ZHA8WI
19030.36999999998,15007.70000000003,2477.5833333333335,1,A,12ZHA8WI
17955.129999999972,14081.899999999989,2288.1666666666665,1,A,12ZHA8WI
2632.960000000001,1926.399999999999,322.1166666666667,1,A,12ZHA8WI
29237.919999999987,22230.100000000002,3696.866666666667,1,A,12ZHA8WI
7134.119999999995,5193.5999999999985,869.7833333333333,1,A,12ZHA8WI
28070.089999999946,21618.10000000002,3626.6,1,A,12ZHA8WI
20714.260000000006,16015.0,2672.7833333333333,1,A,H4R6Y02Y
8877.689999999995,6742.600000000001,1096.7833333333333,1,A,H4R6Y02Y
10123.72,7981.100000000004,1330.5166666666667,1,A,H4R6Y02Y
3112.0800000000017,2398.4,420.45,1,A,H4R6Y02Y
6616.9400000000005,5429.399999999997,922.7166666666667,0,A,H4R6Y02Y
5839.060000000003,4497.800000000002,747.2333333333333,1,A,H4R6Y02Y
2445.9700000000003,2070.7,344.03333333333336,1,A,H4R6Y02Y
7370.360000000001,5585.000000000005,933.7666666666667,0,A,H4R6Y02Y
22437.04000000001,17757.200000000004,2971.75,1,A,H4R6Y02Y
9369.570000000003,7499.299999999992,1243.0,1,A,H4R6Y02Y
21143.46,16167.999999999998,2651.866666666667,1,A,H4R6Y02Y
4677.680000000001,3697.200000000003,601.65,1,A,H4R6Y02Y
9409.23,7272.799999999999,1184.7333333333333,1,A,H4R6Y02Y
15444.480000000001,11997.599999999995,1971.1833333333334,1,A,H4R6Y02Y
17881.480000000003,13459.50000000001,2223.9666666666667,1,A,H4R6Y02Y
11995.09000000001,9282.599999999995,1532.1666666666667,1,A,H4R6Y02Y
6081.979999999997,4767.499999999999,796.9666666666667,1,A,H4R6Y02Y
16219.110000000011,12433.100000000002,2181.3,1,A,3A6STZAR
5669.239999999998,4276.300000000001,710.2666666666667,1,A,3A6STZAR
3183.86,2674.1,426.03333333333336,1,A,3A6STZAR
9319.839999999995,7414.399999999996,1292.6666666666667,1,A,3A6STZAR
14118.679999999997,11136.900000000009,1868.2666666666667,0,A,3A6STZAR
8062.57,6259.4000000000015,1009.3333333333334,1,A,3A6STZAR
2309.62,1608.8999999999994,266.1,1,A,3A6STZAR
6997.340000000006,5294.700000000006,865.8833333333333,1,A,3A6STZAR
3823.3799999999974,2912.5,539.9166666666666,1,A,3A6STZAR
5456.840000000003,4307.7,713.6333333333333,1,A,3A6STZAR
3874.2899999999986,3286.9999999999986,544.0,1,A,3A6STZAR
2673.1400000000003,2136.9000000000005,343.75,1,A,3A6STZAR
3933.2400000000025,2801.700000000002,476.6666666666667,1,A,3A6STZAR
10843.920000000006,8708.499999999996,1435.9833333333333,1,A,3A6STZAR
1882.1599999999999,1433.2000000000005,238.81666666666666,1,A,3A6STZAR
4661.77,3595.7,589.2,1,A,3A6STZAR
39748.99999999997,30918.600000000013,5087.3,1,A,3A6STZAR
1633.3199999999997,1258.0000000000002,215.88333333333333,1,A,3A6STZAR
19882.439999999988,15455.799999999992,2560.8333333333335,1,A,3A6STZAR
2331.0699999999993,1913.1000000000004,315.3666666666667,1,A,3A6STZAR
1597.3600000000001,1135.4999999999993,183.71666666666667,1,A,3A6STZAR
2500.17,1737.4999999999998,294.25,1,A,3A6STZAR
7099.319999999999,5494.799999999998,901.9833333333333,1,A,3A6STZAR
24035.850000000075,18688.899999999994,3132.366666666667,1,A,3A6STZAR
1716.2900000000002,1182.8000000000002,196.8,1,A,3A6STZAR
29566.919999999987,23136.39999999999,3834.2166666666667,1,A,3A6STZAR
23216.23,17531.300000000003,2888.6833333333334,1,A,3A6STZAR
21418.44000000003,16506.9,2855.8333333333335,1,A,3A6STZAR
6007.750000000001,4517.800000000001,807.4166666666666,1,A,3A6STZAR
11769.789999999988,9237.099999999999,1562.7666666666667,1,A,3A6STZAR
2501.92,1828.4,304.8666666666667,1,A,3A6STZAR
9319.900000000007,7411.399999999997,1281.25,1,A,3A6STZAR
2602.0899999999992,2028.7000000000012,328.2,1,A,3A6STZAR
8219.050000000001,6527.300000000001,1065.2,1,A,3A6STZAR
1402.1600000000005,1225.6,192.16666666666666,1,A,3A6STZAR
9126.459999999992,7322.499999999989,1219.5,1,A,3A6STZAR
2648.6199999999994,2128.8000000000006,397.3833333333333,1,A,3A6STZAR
1053.1100000000001,831.9,134.05,1,A,3A6STZAR
10552.34000000001,7947.500000000008,1325.3166666666666,1,A,3A6STZAR
35681.35999999999,28416.699999999986,4719.216666666666,1,A,3A6STZAR
3993.3500000000013,3071.5999999999995,502.4,1,A,3A6STZAR
5552.149999999996,4272.199999999999,701.2833333333333,1,A,3A6STZAR
43478.31999999995,35157.69999999998,5748.433333333333,1,A,3A6STZAR
43723.77000000004,33145.800000000076,5469.566666666667,1,A,3A6STZAR
1636.7600000000002,1348.4999999999998,220.2,1,A,3A6STZAR
5331.500000000004,4047.1000000000004,674.25,1,A,3A6STZAR
32227.700000000033,12024.699999999983,2068.366666666667,1,B,TS5TPP35
29764.489999999994,11841.299999999987,1985.4333333333334,1,B,TS5TPP35
34852.390000000014,13907.200000000004,2413.5666666666666,0,B,TS5TPP35
33064.72000000002,11845.099999999995,2043.9,0,B,TS5TPP35
2570.69,951.3000000000001,162.4,1,B,TS5TPP35
11464.960000000001,4504.900000000003,794.2333333333333,1,B,TS5TPP35
34798.23999999997,12752.999999999996,2179.8166666666666,1,B,TS5TPP35
54765.63000000001,20317.40000000002,3549.3,1,B,TS5TPP35
9830.77999999999,3993.7,685.3833333333333,1,B,TS5TPP35
14948.930000000011,5452.300000000001,952.1333333333333,1,B,TS5TPP35
23290.510000000002,8878.799999999992,1501.2333333333333,1,B,TS5TPP35
34210.929999999964,12186.400000000012,2120.0333333333333,1,B,TS5TPP35
26346.67999999997,9467.89999999999,1689.5333333333333,1,B,TS5TPP35
72047.63000000012,27692.80000000001,4777.166666666667,1,B,TS5TPP35
30012.12999999998,11114.999999999984,1893.5166666666667,1,B,TS5TPP35
33835.99000000003,12373.600000000008,2107.9,1,B,TS5TPP35
18578.819999999996,6467.899999999998,1119.0833333333333,1,B,TS5TPP35
6386.180000000002,2473.9000000000005,419.56666666666666,1,B,TS5TPP35
5892.769999999995,4637.9,754.2,1,A,HLU6OU9B
2595.6599999999994,1833.3999999999994,299.2,1,A,HLU6OU9B
25761.559999999987,20076.59999999998,3304.5,1,A,HLU6OU9B
2461.2099999999987,1981.5999999999995,330.0,1,A,HLU6OU9B
11868.689999999988,9518.400000000003,1583.3166666666666,0,A,HLU6OU9B
9767.079999999993,8012.500000000003,1313.9166666666667,1,A,HLU6OU9B
4557.350000000003,3562.8999999999996,612.05,1,A,HLU6OU9B
3581.4099999999994,2702.2999999999997,449.53333333333336,0,A,HLU6OU9B
5585.610000000002,4243.900000000001,702.8833333333333,1,A,HLU6OU9B
3130.979999999998,2259.4000000000005,379.2,1,A,HLU6OU9B
5912.07,4708.399999999999,765.9333333333333,1,A,HLU6OU9B
2016.47,1537.3,241.58333333333334,1,A,HLU6OU9B
7815.010000000003,5966.8,998.65,1,A,HLU6OU9B
8053.620000000005,6560.300000000003,1115.3166666666666,1,A,HLU6OU9B
1386.1299999999999,974.6999999999999,164.48333333333332,1,A,HLU6OU9B
9761.500000000002,7380.399999999997,1254.5166666666667,1,A,HLU6OU9B
2405.6400000000003,1767.3000000000006,292.3333333333333,1,A,HLU6OU9B
2171.119999999999,1782.399999999999,292.6666666666667,1,A,HLU6OU9B
32868.779999999955,25411.000000000015,4194.233333333334,1,A,HLU6OU9B
15673.369999999994,12052.399999999987,2033.7333333333333,1,A,HLU6OU9B
1622.0200000000004,1302.1,211.6,1,A,HLU6OU9B
11441.640000000012,8890.800000000001,1473.7666666666667,1,A,HLU6OU9B
1820.9000000000005,1317.6999999999996,220.06666666666666,1,A,HLU6OU9B
762.86,692.1,114.98333333333333,1,A,HLU6OU9B
15929.350000000004,12565.200000000006,2032.1166666666666,1,A,HLU6OU9B
28294.35999999996,22497.399999999998,3724.2833333333333,1,A,HLU6OU9B
7794.229999999997,5931.699999999996,1053.5833333333333,1,A,HLU6OU9B
537.14,462.99999999999994,75.33333333333333,1,A,HLU6OU9B
14560.99999999999,11401.6,1876.1333333333334,1,A,HLU6OU9B
1799.5600000000002,1409.1999999999994,239.11666666666667,1,A,HLU6OU9B
7804.899999999999,5906.600000000005,960.1833333333333,1,A,HLU6OU9B
7894.750000000001,5821.100000000001,956.0666666666667,1,A,HLU6OU9B
1411.8699999999997,1145.5999999999995,185.91666666666666,1,A,HLU6OU9B
14584.84999999999,11097.100000000002,1837.4666666666667,1,A,HLU6OU9B
8589.200000000003,6299.199999999999,1047.7,1,A,HLU6OU9B
7006.649999999996,5363.899999999995,891.3833333333333,1,A,HLU6OU9B
6581.480000000002,4752.000000000001,798.1333333333333,1,A,HLU6OU9B
6988.919999999999,5256.400000000002,850.2666666666667,1,A,HLU6OU9B
12360.659999999994,9779.899999999998,1586.2833333333333,1,A,HLU6OU9B
4875.66,3816.8999999999974,619.7,1,A,HLU6OU9B
12590.689999999999,9944.900000000003,1656.7333333333333,1,A,HLU6OU9B
1630.4300000000005,1374.2999999999995,229.46666666666667,1,A,HLU6OU9B
6709.569999999995,5394.000000000002,896.0833333333334,1,A,HLU6OU9B
22617.579999999965,17876.199999999975,2917.5,1,A,HLU6OU9B
17567.339999999986,13128.700000000004,2198.6,1,A,HLU6OU9B
11371.10999999999,8979.3,1457.5333333333333,1,A,HLU6OU9B
27699.25999999999,21513.900000000038,3574.3166666666666,1,A,HLU6OU9B
43428.18999999999,16829.300000000014,2911.15,1,B,OKU9UWCY
11133.659999999994,4244.200000000003,712.55,1,B,OKU9UWCY
7199.440000000001,2622.9,444.45,1,B,OKU9UWCY
18032.369999999984,6605.799999999996,1130.9,1,B,OKU9UWCY
19920.96,7156.8,1247.2166666666667,0,B,OKU9UWCY
12979.78,4562.999999999997,786.6833333333333,1,B,OKU9UWCY
6783.019999999998,2749.0000000000005,453.8666666666667,1,B,OKU9UWCY
13020.579999999996,4992.8,852.3,0,B,OKU9UWCY
16116.120000000004,6610.300000000003,1132.2166666666667,1,B,OKU9UWCY
5598.8200000000015,2557.6,407.23333333333335,1,B,OKU9UWCY
18385.809999999983,7292.900000000001,1239.5666666666666,1,B,OKU9UWCY
50154.48000000002,19407.000000000004,3287.5666666666666,1,B,OKU9UWCY
9823.430000000008,3591.299999999998,615.5833333333334,1,B,OKU9UWCY
4728.779999999999,1869.9999999999998,317.9166666666667,1,B,OKU9UWCY
17216.94,7051.699999999995,1214.4333333333334,1,B,OKU9UWCY
30163.980000000003,23066.199999999986,3927.3166666666666,1,A,LYRHF3HX
18585.97000000003,14879.30000000003,2462.633333333333,0,A,LYRHF3HX
18681.949999999986,14477.600000000004,2480.516666666667,0,A,LYRHF3HX
4169.870000000001,3179.699999999997,534.3333333333334,1,A,LYRHF3HX
533.9599999999999,325.69999999999993,56.4,1,A,LYRHF3HX
30451.830000000027,23419.00000000005,3993.55,1,A,LYRHF3HX
