Dias,Factor Toneladas,Factor Kilometros
90,0.9296762469223048,0.7144144411178872
150,0.33378915797478315,0.2559884167187526
180,0.2554982516649814,0.1965402605209701
240,0.17194101192645064,0.13227389876943196
365,0.10426592069433614,0.08013117283256319
