Umbral,N_simulacion,Fallas totales promedio,Fallas programadas promedio,Fallas reactivas promedio,Tiempo promedio entre fallas,Tiempo de operacion promedio,Tiempo sin operar promedio,Tiempo de Operacion/Tiempo de Reparacion,Tiempo_Reparacion,Kilometros totales,Toneladas totales,Factor Toneladas,Factor Kilometros
0.358,37,24,8,16,423.61135079487616,2638.33321526793,3023.8415550272634,26.969864760136527,97.8252297048068,34745.99582156676,45042.68235491997,0.17451940516808503,0.13462454289404124
0.358,38,21,8,13,288.28783610000886,2608.816331410356,3086.5794123829455,40.38149318000885,64.60425620669889,34567.66648111759,44270.25089487417,0.26266810927056367,0.20509989017346864
0.358,39,13,8,5,453.68837905756135,2617.5553009383357,3066.3672827049786,34.406469439840514,76.07741635668589,34154.2379460757,44814.01517895139,0.22504130412979498,0.1715113947779953
0.358,40,19,9,10,399.464703972019,2587.2343659495064,2986.208998686133,13.868358854652493,186.55663536436057,34055.56962689697,43236.599662603585,0.08957876277462161,0.07055725511645637
0.358,41,18,8,10,341.56782711773496,2624.5194830376627,3018.484175633779,22.432491932950967,116.99634132855833,34153.82794977008,43291.149731057725,0.14098634053940276,0.11122881346336576
0.358,42,15,9,6,350.4949869922919,2645.339740247524,3059.470316634476,47.93155402591378,55.18994311799997,34707.54740271754,46485.38705199454,0.31840145865632424,0.23772919664083167
0.358,43,19,8,11,309.06194114697644,2648.1017605386623,3052.3531716771486,44.472226820469146,59.54506778418897,34450.55726154871,45123.66347960487,0.2861698577905949,0.21848206267206363
0.358,44,20,9,11,276.01512962476625,2630.879392504541,3005.249111728111,21.238779561084762,123.87149576734765,34306.92539667001,44205.42224702901,0.13564482272384099,0.10527117663589564
0.358,45,16,9,7,229.85572989429488,2649.467533736491,3069.4021315830373,64.41638645343782,41.13033468047154,34330.74284992854,45368.27475333526,0.4163239725299557,0.3150375746244547
0.358,46,16,9,7,180.223751269056,2636.319784885495,3031.629708629634,28.639926987460925,92.0505064848707,33953.48471155666,43889.906077153944,0.18085910614384107,0.13991364858712207
0.358,47,21,9,12,321.4559722025993,2591.2868243065814,3032.774754678701,19.062210705139975,135.93842101471793,33834.89729501955,44086.454211686716,0.12515478625464604,0.09605216419930501
0.358,48,17,9,8,258.9318767007876,2636.9180465824907,3028.684432772604,27.9341875567026,94.39752064490531,33768.471856059376,43522.25514323623,0.17484538369991492,0.13566074182509494
0.358,49,23,9,14,297.879677144109,2636.4660058529835,3054.702831079121,38.303377254462,68.83116306789525,34584.4458494717,44872.75133834521,0.2472722694217261,0.19057833889904352
0.358,50,15,9,6,250.98013966679116,2602.0527223753234,3028.2298472697144,20.05939151935861,129.71743035496237,34371.36123130518,45239.58047700943,0.13403065503421221,0.10183153803980399
0.358,51,15,8,7,488.34447641230184,2644.172641602098,3075.460974343146,65.50432255748628,40.36638405475585,34632.067604583885,44782.801682875564,0.41956727287573464,0.32446567907473345
0.358,52,16,8,8,381.7856597636797,2648.1269543210256,3067.2181234235422,59.30201690137035,44.654922255432304,34829.993351930934,45104.430838184686,0.3814266797555815,0.29454065760849935
0.358,53,19,9,10,354.6878461431168,2612.379309822907,3086.5490225311146,42.77563411181777,61.0716676459783,33915.809498865085,45289.08719045516,0.2838687287423756,0.212581845295846
0.358,54,21,9,12,196.38118539052485,2627.7562141854255,3035.269742563574,27.097521420076607,96.97404325100065,34312.15505256481,43529.29680896971,0.17082092769774634,0.13465032948063294
0.358,55,16,9,7,414.93550134602214,2628.1612151389586,3020.1265439149975,23.526170389942614,111.71224094604415,34199.30835102707,43852.95759218526,0.14936406452015671,0.11648353907144066
0.358,56,17,8,9,232.73014037436374,2624.6639781752806,3015.1895817574136,21.84554096405147,120.14644006730566,34425.272957041525,43641.90592470443,0.13839458277041833,0.10916735157871763
0.358,57,22,9,13,328.902305625411,2618.6126174118845,3039.484563449983,25.697155776056334,101.90281913813246,34157.696395533676,45144.93645883594,0.16918100131425295,0.1280062335241936
0.358,58,16,8,8,368.39813702925875,2644.7388103252565,3024.7104556871222,29.207259774247724,90.55073398762126,33883.784096412775,44423.75110617911,0.18549852639688816,0.14148719687385022
0.358,59,18,9,9,370.8691811404562,2651.0987319441288,3071.5051234955527,70.89230088058973,37.39614456031851,34101.41554859155,44680.88924303088,0.4506808201451619,0.34396929398506493
0.358,60,18,9,9,320.9170887632097,2650.03870231164,3077.5749079793077,81.8256905483647,32.3863897090521,34074.17496266978,44985.06186176772,0.5241475594285988,0.3970183635871655
0.358,61,16,8,8,424.8945910926925,2644.554711603842,3041.690905257553,35.85623794905838,73.75438313860505,34192.10399900845,44608.69722973711,0.228706837578239,0.1753014201577383
0.358,62,14,9,5,215.97644098848392,2662.99807641682,3064.43867549312,81.7792521511298,32.56324809006009,34293.75337354777,45381.37987911822,0.523334211323302,0.39547264589280645
0.358,63,18,9,9,343.65590130830697,2658.383913836692,3057.2388006409815,59.904157781332536,44.377285522326524,34319.94685435803,44692.939249265706,0.3788440607961514,0.29091637853795255
0.358,64,16,9,7,203.85167187562826,2641.0959443932334,3083.741151693222,75.11029097275117,35.1629039135447,34452.926372041904,44551.45825396442,0.47972572918696044,0.3709857291816418
0.358,65,18,9,9,425.2713819010832,2650.9865292184386,3067.3639633254625,63.64988906562076,41.64950745609888,34020.412929207174,44452.11323616686,0.4026011594174532,0.3081216322920624
0.358,66,25,8,17,354.85725320606934,2614.1505421971333,3080.853619217704,40.220275622290096,64.995838585163,34042.11604009433,42778.63768936945,0.25177395656162055,0.20035510030452053
0.358,67,19,9,10,398.7645803196037,2644.8127748502766,3074.4149202473855,64.86787492601646,40.77230490233812,35001.96285518028,44361.9265456432,0.4113866565972215,0.3245878074866187
0.358,68,11,9,2,347.64456102053214,2643.8161379992603,3085.2294298986435,85.40993836615165,30.954432102096174,34722.57911637377,44935.60433412918,0.5490811023181749,0.4242852032161954
0.358,69,24,8,16,262.4333599699719,2563.28671829334,3013.2049063085365,13.968227405055817,183.50837539812355,33949.835909076355,43110.1572760174,0.09164874654684005,0.07217463593594178
0.358,70,22,8,14,230.32987802346233,2636.689975461865,3089.038849928844,76.9360842025828,34.27117460929145,34586.89745616593,43571.794259813265,0.4821890974995064,0.3827573583555266
0.358,71,20,8,12,282.6204872638409,2628.51109781295,3008.120451091428,21.306185450732606,123.36845109562161,34463.182659415594,43956.14940260918,0.1355519325635346,0.10627753056769301
0.358,72,23,8,15,438.0218771398117,2634.1785533221505,3009.5675922366245,22.658849170922966,116.25385444122502,34134.34651600591,43953.75960822628,0.14353025554077256,0.11146512884969831
0.358,73,14,9,5,368.27912478245037,2653.075669142244,3065.1025917569204,63.43771746902865,41.82173910083571,34841.11560049985,45554.419132449766,0.410562035708563,0.31400772130818616
0.358,74,17,9,8,305.46558445350945,2604.529890700123,3047.2334178154756,24.063280713596733,108.23669148440169,33568.404428905975,43306.84699876787,0.15362175106390033,0.11907671479607927
0.358,75,18,8,10,287.55129243584724,2619.757199881914,3026.3009903541765,22.99206239843054,113.9418097639097,34381.05964522878,43561.22289629372,0.1459338054258563,0.11517947695238978
0.358,76,17,9,8,296.37902278558346,2627.7799589611664,3000.012474685846,19.876169204606082,132.20756635298756,33948.66693833705,44315.70143396986,0.12755935680614372,0.09771864099979659
0.358,77,20,9,11,380.78673384936593,2661.8981095213044,3056.2413732925133,63.589709073159256,41.86051718618212,34355.31583939212,44917.64874099854,0.4031076100735975,0.3083173240254761
