Dias,Factor Toneladas,Factor Kilometros
90,1.0588927097705227,0.8130516006404696
150,0.5394855849053092,0.4161263783342734
180,0.4363936506408781,0.3356708226062619
240,0.26641270530622485,0.20526987665526245
365,0.17554015693226574,0.13520126545783953
