Tiempo,Fallas_totales,Fallas_programadas,Fallas_reactivas,Tiempo_operacion,Tiempo_reparacion,Tiempo_sin_operar,Factor_toneladas,Factor_kilometros,Toneladas_cargadas,Kms_andados
15,25,13,12,4022.962043567174,103.048701925354,-4111.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
16,25,13,12,4022.962043567174,103.048701925354,-4110.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
17,25,13,12,4022.962043567174,103.048701925354,-4109.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
18,25,13,12,4022.962043567174,103.048701925354,-4108.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
19,25,13,12,4022.962043567174,103.048701925354,-4107.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
20,25,13,12,4022.962043567174,103.048701925354,-4106.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
21,25,13,12,4022.962043567174,103.048701925354,-4105.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
22,25,13,12,4022.962043567174,103.048701925354,-4104.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
23,25,13,12,4022.962043567174,103.048701925354,-4103.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
24,25,13,12,4022.962043567174,103.048701925354,-4102.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
25,25,13,12,4022.962043567174,103.048701925354,-4101.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
26,25,13,12,4022.962043567174,103.048701925354,-4100.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
27,25,13,12,4022.962043567174,103.048701925354,-4099.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
28,25,13,12,4022.962043567174,103.048701925354,-4098.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
29,25,13,12,4022.962043567174,103.048701925354,-4097.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
30,25,13,12,4022.962043567174,103.048701925354,-4096.010745492528,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
31,25,13,12,4022.962043567174,103.048701925354,-4095.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
32,25,13,12,4022.962043567174,103.048701925354,-4094.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
33,25,13,12,4022.962043567174,103.048701925354,-4093.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
34,25,13,12,4022.962043567174,103.048701925354,-4092.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
35,25,13,12,4022.962043567174,103.048701925354,-4091.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
36,25,13,12,4022.962043567174,103.048701925354,-4090.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
37,25,13,12,4022.962043567174,103.048701925354,-4089.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
38,25,13,12,4022.962043567174,103.048701925354,-4088.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
39,25,13,12,4022.962043567174,103.048701925354,-4087.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
40,25,13,12,4022.962043567174,103.048701925354,-4086.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
41,25,13,12,4022.962043567174,103.048701925354,-4085.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
42,25,13,12,4022.962043567174,103.048701925354,-4084.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
43,25,13,12,4022.962043567174,103.048701925354,-4083.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
44,25,13,12,4022.962043567174,103.048701925354,-4082.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
45,25,13,12,4022.962043567174,103.048701925354,-4081.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
46,25,13,12,4022.962043567174,103.048701925354,-4080.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
47,25,13,12,4022.962043567174,103.048701925354,-4079.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
48,25,13,12,4022.962043567174,103.048701925354,-4078.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
49,25,13,12,4022.962043567174,103.048701925354,-4077.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
50,25,13,12,4022.962043567174,103.048701925354,-4076.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
51,25,13,12,4022.962043567174,103.048701925354,-4075.0107454925283,0.16783209862666115,0.12722713741524466,69576.6454054067,52743.41141128547
