Horas_mantenciones_reactivas
208.21733724208275
1553.5847841046618
2535.2328520948167
2722.4673209763373
3807.9044248975406
4063.830249978082
4266.153190141778
6848.010136803941
6964.050082904991
7165.984973330091
7908.577592020696
8139.192949216514
8718.129265381715
