Hora,Tiempo_operacion,Tiempo_sin_operar,Factor_toneladas,Factor_kilometros,Toneladas_cargadas,Kms_andados
30,33.373495406394035,40.430462804432246,0.0,0.0,574.1907002552241,437.0959592508811
31,34.793385139035664,41.35504919142139,0.0,0.0,584.6900727890055,456.7310280996594
32,36.265847405873366,42.911005616951506,0.0,0.0,609.1978498314413,466.5572893386318
33,37.99803468995495,44.62752810137643,0.0,0.0,649.6518335475816,486.2599903526237
34,39.50241104927705,46.24624598949803,0.0,0.0,670.4156753427623,498.493592202801
35,40.75064628935914,48.080499787000804,0.0,0.0,677.3185492506803,518.2947713109945
36,41.796335498625226,49.75517356614273,0.0,0.0,714.7621123429685,536.0027982341994
37,42.43868910589159,50.85261461450785,0.0,0.0,720.578095376847,554.8301236860591
38,43.10486972145277,52.09615912459769,0.0,0.0,726.0720925252365,567.2761846073371
39,44.33520293075418,53.492067520083964,0.0,0.0,734.0364308643929,588.4999109497534
40,44.6960339402473,55.10257966969221,0.0,0.0,743.5290915668342,606.4105685122086
41,46.16134267002243,56.5766223835377,0.0,0.0,752.0571504183142,623.3220910713421
42,47.61980282366203,57.913884296089265,0.0,0.0,761.564005190917,631.9682337597308
43,49.2403086263231,59.09998800856792,0.0,0.0,769.7918853329342,642.0481437811787
44,50.32421390288185,60.529368042987386,0.0,0.0,803.8479360981564,659.8417783434774
45,51.96005598586757,61.6603895193558,0.0,0.0,810.2593920390235,679.4055533781303
46,53.46556273631866,62.31227719349964,0.0,0.0,820.8280507009887,693.8812554256509
47,54.56590102254974,64.11949739834719,0.0,0.0,852.3860568742145,703.2739258790531
48,55.789341897925354,65.63392805424472,0.0,0.0,860.9020729484232,723.0322937101405
49,56.860225875901435,67.45617144090559,0.0,0.0,870.9481394638558,733.2273520351085
50,57.5992256453446,68.90445336101024,0.0,0.0,877.4459083482901,746.9175151677103
51,58.68024005121586,70.32478252845294,0.0,0.0,918.8540062567297,759.8999449752259
52,59.43465296174308,72.23926807547785,0.0,0.0,952.0061592706234,773.633808649945
53,60.55391050152495,73.30250772607495,0.0,0.0,987.8855285284853,782.6774178872209
54,61.82577321117664,75.18806346213809,0.0,0.0,998.1489419409417,797.3604667028089
55,62.994132629822964,76.34260534775416,0.0,0.0,1028.8109769096684,814.3922059810847
56,63.538427149666916,77.40895674893437,0.0,0.0,1034.1356071739358,822.8151644433362
57,64.64252836678907,78.00651655638032,0.0,0.0,1039.7827538579386,835.4194135648966
58,65.80340886421916,78.1404683104648,0.0,0.0,1075.1815873791718,849.4707727682905
59,66.89117629364404,80.02082590821175,0.0,0.0,1114.9140347903285,859.4947657966902
60,68.40905332783353,81.8286987119703,0.0,0.0,1150.2610740859834,876.5397889352442
61,69.51383724864819,83.58277240991579,0.0,0.0,1159.8789893142916,890.283724841077
62,71.08566527296813,84.93541202635225,0.0,0.0,1167.2441961292272,902.2958289118782
63,72.5750279565075,86.06558588926377,0.0,0.0,1175.664747312936,915.5331663398126
64,73.95498497856661,87.18996948171792,0.0,0.0,1200.7789157971754,923.8346240343722
65,75.30083612332781,88.80668677748908,0.0,0.0,1206.1782393546366,937.2191294779437
66,77.2830649524816,90.23211616874224,0.0,0.0,1231.0144727195918,954.6243930659462
67,78.36966519808281,91.26083769031477,0.0,0.0,1238.5461550864536,973.0602896296951
68,79.64032476929368,92.37648188216995,0.0,0.0,1271.6978050203072,982.9047180529753
