Año,Fallas_totales,Fallas_programadas,Fallas_reactivas,Tiempo_operacion,Tiempo_reparacion,Tiempo_sin_operar,Factor_toneladas,Factor_kilometros
2024,29,13,16,4049.2409538254296,97.95142448579055,4612.807621688779,0.17131691681459682,0.13087424227211933
2025,33,13,20,4004.88850752905,105.189740226367,4649.921752244583,0.163665637528566,0.12452272547588371
2026,27,13,14,3999.221085924184,134.97876674707837,4625.800147328738,0.12580841714844918,0.0962667105310795
2027,27,14,13,4048.4548239483333,85.30292128479033,4626.242254766876,0.19619847475595592,0.15152435207370152
2028,24,13,11,4052.90677404527,43.83886653461987,4663.25435942011,0.3892754400819468,0.29623602441305336
2029,29,13,16,3967.4545838453914,184.00001509551393,4608.545401059095,0.09165580697199341,0.07147375623778757
2030,26,13,13,4002.35369843068,90.53301273128062,4667.113288838039,0.18643696473653448,0.14388605038688643
2031,28,13,15,4020.887139162021,102.16568887069461,4636.947171967284,0.16666659690283311,0.12662141704061916
2032,31,13,18,4006.228851488057,113.1178195716175,4640.653328940326,0.15206396163306365,0.11508245102405378
2033,25,14,11,4012.9956207781406,149.29354917835434,4597.710830043505,0.11308376303853923,0.08658302607609557
2034,33,14,19,4004.159507518346,154.7048673614938,4601.1356251201605,0.11063559726591829,0.08489963506866233
2035,25,14,11,4063.916021046811,61.97763362123704,4634.106345331952,0.27520413734284527,0.20841222661359227
2036,27,13,14,3959.9537828697876,183.80869144993864,4616.237525680273,0.09333432410085038,0.07118797704243694
2037,35,13,22,3990.8159895093477,148.92503157093446,4620.258978919718,0.11558077906722868,0.08834889605334258
2038,33,13,20,4028.7849011547173,102.50038361983296,4628.71471522545,0.16443016496771543,0.12674141883984072
2039,26,14,12,3961.5374847663156,151.60054181291085,4646.861973420774,0.11225406701176811,0.08690674438471868
2040,24,13,11,3955.700219513338,184.58560763570566,4619.714172850956,0.09009890852145602,0.07107115983331426
2041,26,13,13,4011.859763976535,123.27272179754527,4624.86751422592,0.1364448117485792,0.10540538786299943
2042,25,14,11,4058.247629281615,54.864072060681416,4646.888298657703,0.30209653421732174,0.23590992398408694
2043,29,14,15,4024.698664972496,129.36527438947465,4605.93606063803,0.1294016168903158,0.0999186104960323
