Umbral,N_simulacion,Fallas totales promedio,Fallas programadas promedio,Fallas reactivas promedio,Tiempo promedio entre fallas,Tiempo de operacion promedio,Tiempo sin operar promedio,Tiempo de Operacion/Tiempo de Reparacion,Tiempo_Reparacion,Kilometros totales,Toneladas totales,Factor Toneladas,Factor Kilometros
0.358,1,25,13,12,373.556115264419,3959.4851352536866,4624.931186126174,71.23467236331872,55.58367862014014,62224.29537354453,81189.84671557182,0.36890600007892954,0.28273136164920865
0.358,2,24,14,10,400.5276442171721,3978.376841385349,4585.048113126861,51.95395988396307,76.57504548779116,62077.916520811326,79213.34179030523,0.2600190419236668,0.20377173861808026
0.358,3,28,13,15,326.061014229421,3922.911248601959,4599.1881225889765,33.27303075673115,117.90062880906488,61849.034557023864,79498.31774813995,0.1718831620279515,0.13372368031380183
0.358,4,31,14,17,345.09809403905626,3935.516577977875,4537.389741470562,23.55275534650402,167.0936805515636,61829.33461096315,79728.44736001403,0.12124156544390463,0.09402271794832112
0.358,5,34,14,20,264.7463196226003,3980.567774704824,4595.639008142243,62.39797822332976,63.79321715293243,62159.760430982686,80742.69998165876,0.3179682381403275,0.24478781997572685
0.358,6,28,13,15,382.79050885117493,3917.1999093939003,4584.708324175241,28.366643505535865,138.09176643085894,63467.1066771487,80969.5582828398,0.14968498882024084,0.11732894874190544
0.358,7,31,14,17,299.19518121122184,3989.249841963835,4580.6706715914315,56.924644348098084,70.07948644473385,62545.08775489833,81281.05201550575,0.29074159519856363,0.22372321881641366
0.358,8,35,13,22,326.85030437919136,3928.5916643084356,4551.336921991992,24.542743601188853,160.07141369957245,61125.01202614342,80755.35449517414,0.1284164490128401,0.09720045239518527
0.358,9,30,14,16,364.6704767554801,3971.088473677478,4585.694221091864,47.719503325306945,83.21730523065821,61912.749133509824,81495.63372370681,0.24661025372071335,0.1873513717817772
0.358,10,23,13,10,442.0016689846172,3960.527454871779,4576.298283500827,38.38677779129576,103.1742616273938,61618.32426839083,81392.88621263567,0.19918748642567682,0.1507944944564168
0.358,11,22,13,9,414.27525030476755,3957.1428631842537,4582.192154691834,39.310023999341205,100.6649821239125,61926.91189202134,80915.10834065796,0.203127848938926,0.15546021827095544
0.358,12,27,14,13,292.1839444377234,3978.338366369686,4595.4966982632795,60.12759393326401,66.16493536703412,62561.39437445901,81856.28571014469,0.31097281404716626,0.23767133691150333
0.358,13,23,14,9,224.62130777463568,3970.163114675872,4600.920713457391,57.60858456202361,68.91617186673702,62209.90115739881,79895.07851917153,0.29200516432372614,0.22736835292889787
0.358,14,27,14,13,333.94537597987045,3931.071369521165,4562.8586673414375,26.91225002790958,146.06996313739705,61578.03864971688,80364.18906740478,0.1399557411512879,0.10723930817786684
