Tons,Kms,Falla,Edad,Modelo,ID
2167.4799999999996,1795.9999999999995,1,288.8333333333333,0,AWOU5IMX
2012.7400000000002,1527.1999999999998,1,249.45,0,AWOU5IMX
3275.169999999999,2470.500000000001,1,412.75,0,AWOU5IMX
933.86,849.9,1,130.43333333333334,0,AWOU5IMX
2466.9599999999987,2029.2000000000007,1,343.8,0,AWOU5IMX
2184.100000000001,1703.3000000000002,1,271.1,0,AWOU5IMX
2506.2400000000007,2133.0,1,343.23333333333335,0,AWOU5IMX
1436.2300000000007,1231.0,1,200.75,0,AWOU5IMX
3724.0600000000013,2973.8999999999983,1,476.8666666666667,0,AWOU5IMX
2177.6199999999994,1804.8999999999999,1,297.68333333333334,0,AWOU5IMX
2410.7499999999986,1780.5000000000005,1,293.6666666666667,0,AWOU5IMX
464.91999999999996,345.2,1,59.93333333333333,0,AWOU5IMX
4283.140000000001,3375.899999999999,1,551.55,0,AWOU5IMX
1965.0800000000002,1595.8000000000006,1,254.43333333333334,0,AWOU5IMX
2996.270000000001,2231.8000000000006,1,370.48333333333335,0,AWOU5IMX
2497.5,2175.100000000001,1,346.3666666666667,0,AWOU5IMX
2161.3599999999997,1708.3,1,280.98333333333335,0,AWOU5IMX
3281.969999999998,2637.6000000000013,1,434.03333333333336,0,AWOU5IMX
2323.4500000000003,1633.9999999999995,1,280.4,0,AWOU5IMX
2598.119999999999,2078.2000000000003,1,339.1,0,AWOU5IMX
1123.63,907.1000000000001,0,171.98333333333332,0,AWOU5IMX
271.49,188.40000000000003,0,35.483333333333334,0,AWOU5IMX
849.8100000000001,651.6999999999999,0,108.71666666666667,0,AWOU5IMX
396.48,316.70000000000005,0,53.53333333333333,0,AWOU5IMX
567.0999999999999,429.3,1,71.76666666666667,0,AWOU5IMX
1738.3399999999997,1171.7999999999995,0,194.15,0,AWOU5IMX
1812.9299999999996,1456.4000000000005,1,238.18333333333334,0,AWOU5IMX
1722.52,1264.1000000000001,1,212.11666666666667,0,AWOU5IMX
1861.29,1312.8000000000002,1,283.43333333333334,0,AWOU5IMX
2735.930000000001,2121.7,1,338.9166666666667,0,AWOU5IMX
1923.1200000000001,1454.6000000000001,1,238.8,0,AWOU5IMX
1866.450000000001,1352.8000000000002,0,219.85,0,AWOU5IMX
482.23,369.80000000000007,0,60.8,0,AWOU5IMX
2047.9400000000007,1327.9999999999998,0,225.41666666666666,0,AWOU5IMX
742.8499999999999,646.8,0,103.15,0,AWOU5IMX
732.07,746.6999999999999,1,116.98333333333333,0,AWOU5IMX
1353.23,1203.5999999999995,0,196.7,0,AWOU5IMX
895.58,777.5000000000001,1,134.98333333333332,0,AWOU5IMX
2643.9400000000014,2298.2999999999997,1,357.5833333333333,0,AWOU5IMX
2180.62,1680.5000000000005,1,276.0,0,AWOU5IMX
1914.6300000000006,1215.6999999999998,1,274.85,0,AWOU5IMX
2330.5,1916.1000000000008,1,305.0,0,AWOU5IMX
913.1400000000002,718.3,1,112.68333333333334,0,AWOU5IMX
3850.1300000000006,2777.8000000000015,1,473.8666666666667,0,AWOU5IMX
2118.7700000000004,1587.9000000000005,1,270.73333333333335,0,AWOU5IMX
3345.17,2609.0,1,429.1666666666667,0,AWOU5IMX
2533.310000000001,2262.1,1,364.8333333333333,0,AWOU5IMX
2088.620000000001,1486.0000000000007,1,254.23333333333332,0,AWOU5IMX
1078.3799999999999,865.3000000000001,1,143.71666666666667,0,AWOU5IMX
2377.290000000001,1810.0000000000002,1,301.3333333333333,0,AWOU5IMX
2384.279999999998,1840.3000000000004,1,300.96666666666664,0,AWOU5IMX
3060.6100000000015,2247.0,1,369.0,0,AWOU5IMX
3185.189999999999,2678.300000000001,1,444.28333333333336,0,AWOU5IMX
2605.2700000000004,2177.1000000000004,1,351.2,0,AWOU5IMX
2155.860000000001,1758.1,1,280.01666666666665,0,AWOU5IMX
691.62,628.5999999999999,1,113.83333333333333,0,AWOU5IMX
4739.75,3768.900000000001,1,615.5,0,AWOU5IMX
2457.090000000001,1814.1000000000006,1,312.3333333333333,0,AWOU5IMX
1630.94,1370.9999999999995,1,226.48333333333332,0,AWOU5IMX
2768.7599999999998,2152.300000000001,1,355.81666666666666,0,AWOU5IMX
1673.58,1220.0999999999997,1,201.53333333333333,0,AWOU5IMX
2564.37,1998.1,1,325.8666666666667,0,AWOU5IMX
1531.0399999999995,1272.7,1,215.76666666666668,0,AWOU5IMX
3440.7000000000007,2634.599999999998,1,451.6,0,AWOU5IMX
851.8399999999998,589.3000000000001,1,92.56666666666666,0,AWOU5IMX
1649.3100000000002,1260.9000000000003,1,204.1,0,AWOU5IMX
3457.350000000001,2667.7000000000016,1,423.48333333333335,0,AWOU5IMX
1154.2600000000004,884.8000000000001,1,183.11666666666667,0,AWOU5IMX
1542.67,1226.0999999999997,1,201.18333333333334,0,AWOU5IMX
2258.6299999999997,1863.0,1,306.03333333333336,0,AWOU5IMX
2162.7199999999993,1733.0000000000005,1,281.95,0,AWOU5IMX
2900.85,2346.7999999999993,1,386.28333333333336,0,AWOU5IMX
2446.8600000000006,1962.5000000000002,1,311.01666666666665,0,AWOU5IMX
1990.3600000000004,1589.8000000000002,1,255.16666666666666,0,AWOU5IMX
2636.0300000000007,1886.9000000000005,1,311.53333333333336,0,AWOU5IMX
2600.79,2015.8999999999999,1,334.6,0,AWOU5IMX
4035.679999999998,3102.3000000000006,1,510.6,0,AWOU5IMX
2660.93,2198.0000000000005,1,350.7,0,AWOU5IMX
3234.559999999999,2508.5999999999995,1,489.98333333333335,0,AWOU5IMX
2968.0,2289.4,1,367.0833333333333,0,AWOU5IMX
1825.51,1422.4999999999998,1,226.61666666666667,0,AWOU5IMX
3181.3299999999995,2540.499999999999,1,420.6,0,AWOU5IMX
2404.079999999999,1908.9000000000003,1,330.01666666666665,0,AWOU5IMX
2521.7899999999995,2146.1999999999994,1,354.81666666666666,0,AWOU5IMX
3195.2500000000005,2652.4999999999995,1,430.6166666666667,0,AWOU5IMX
1631.07,1336.7999999999997,1,217.2,0,AWOU5IMX
3328.6899999999996,2574.6999999999994,1,429.68333333333334,0,AWOU5IMX
1697.9800000000005,1312.7999999999995,1,212.46666666666667,0,AWOU5IMX
1704.1499999999996,1373.0999999999997,1,225.88333333333333,0,AWOU5IMX
1414.2299999999996,1117.5000000000007,1,185.85,0,AWOU5IMX
3349.789999999998,2605.7999999999984,1,431.06666666666666,0,AWOU5IMX
2675.690000000001,2005.6000000000004,1,330.8666666666667,0,AWOU5IMX
4025.190000000001,3002.3999999999996,1,491.0,0,AWOU5IMX
2638.85,1889.9,1,343.43333333333334,0,AWOU5IMX
2410.18,1923.8999999999994,1,305.2,0,AWOU5IMX
2355.9799999999987,1742.1,1,296.3,0,AWOU5IMX
1424.2800000000004,1230.3,1,196.98333333333332,0,AWOU5IMX
3875.2,3042.2999999999975,1,484.6333333333333,0,AWOU5IMX
4282.240000000001,3336.800000000001,1,562.8333333333334,0,AWOU5IMX
2824.3899999999994,2199.400000000001,1,345.25,0,AWOU5IMX
4048.6100000000024,3037.6000000000013,1,491.4166666666667,0,AWOU5IMX
1599.0,1258.7000000000005,1,218.25,0,AWOU5IMX
1523.490000000001,1299.8000000000004,1,208.3,0,AWOU5IMX
2932.9900000000002,2423.8999999999987,1,397.95,0,AWOU5IMX
2538.4399999999996,2007.0000000000002,1,330.96666666666664,0,AWOU5IMX
2685.579999999998,2010.4999999999998,1,327.21666666666664,0,AWOU5IMX
2265.390000000001,1870.6999999999996,1,296.05,0,AWOU5IMX
1423.4299999999998,1095.8,1,250.23333333333332,0,AWOU5IMX
