Tons,Kms,Edad,Inicio,Termino,Falla,Sesgo,ID
36.01,18.3,0.0,0.0,1.5833333333333333,0,,AWOU5IMX
44.25,37.7,2.4166666666666665,1.5833333333333333,3.333333333333333,0,,AWOU5IMX
52.4,47.7,5.8,3.333333333333333,4.283333333333333,0,,AWOU5IMX
91.28,60.0,7.633333333333334,4.283333333333333,5.166666666666666,0,,AWOU5IMX
117.31,71.1,9.733333333333333,5.166666666666666,6.083333333333333,0,,AWOU5IMX
150.6,88.5,12.283333333333333,6.083333333333333,7.75,0,,AWOU5IMX
157.23999999999998,97.9,15.3,7.75,8.433333333333334,0,,AWOU5IMX
166.05999999999997,117.2,17.75,8.433333333333334,9.266666666666667,0,,AWOU5IMX
200.62999999999997,139.0,19.9,9.266666666666667,11.283333333333335,0,,AWOU5IMX
208.72999999999996,154.8,23.583333333333332,11.283333333333335,12.033333333333335,0,,AWOU5IMX
215.35999999999996,168.20000000000002,25.85,12.033333333333335,13.233333333333334,0,,AWOU5IMX
224.21999999999997,188.4,27.883333333333333,13.233333333333334,14.316666666666668,0,,AWOU5IMX
255.62999999999997,205.5,30.116666666666667,14.316666666666668,16.433333333333334,0,,AWOU5IMX
266.27,226.7,33.96666666666667,16.433333333333334,17.566666666666666,0,,AWOU5IMX
294.01,247.5,36.083333333333336,17.566666666666666,18.683333333333334,0,,AWOU5IMX
303.09999999999997,265.0,38.03333333333333,18.683333333333334,19.7,0,,AWOU5IMX
311.27,285.7,40.68333333333333,19.7,20.633333333333333,0,,AWOU5IMX
343.78999999999996,301.7,42.583333333333336,20.633333333333333,22.333333333333332,0,,AWOU5IMX
349.59999999999997,310.59999999999997,45.8,22.333333333333332,23.333333333333332,0,,AWOU5IMX
377.41999999999996,329.09999999999997,47.9,23.333333333333332,24.833333333333332,0,,AWOU5IMX
382.59,339.99999999999994,50.78333333333333,24.833333333333332,25.766666666666666,0,,AWOU5IMX
403.23999999999995,352.69999999999993,53.03333333333333,25.766666666666666,26.849999999999998,0,,AWOU5IMX
409.84999999999997,372.29999999999995,55.06666666666667,26.849999999999998,27.616666666666664,0,,AWOU5IMX
438.15,391.29999999999995,57.18333333333333,27.616666666666664,28.866666666666664,0,,AWOU5IMX
443.29999999999995,406.29999999999995,59.833333333333336,28.866666666666664,29.78333333333333,0,,AWOU5IMX
452.99999999999994,425.29999999999995,61.6,29.78333333333333,31.28333333333333,0,,AWOU5IMX
475.10999999999996,435.4,64.0,31.28333333333333,32.38333333333333,0,,AWOU5IMX
509.90999999999997,446.29999999999995,66.08333333333333,32.38333333333333,32.81666666666666,0,,AWOU5IMX
534.75,460.99999999999994,68.2,32.81666666666666,33.49999999999999,0,,AWOU5IMX
560.91,477.09999999999997,69.81666666666666,33.49999999999999,34.26666666666666,0,,AWOU5IMX
567.5799999999999,496.79999999999995,71.41666666666667,34.26666666666666,35.11666666666666,0,,AWOU5IMX
574.7499999999999,505.09999999999997,73.53333333333333,35.11666666666666,36.26666666666666,0,,AWOU5IMX
597.7999999999998,519.6999999999999,75.83333333333333,36.26666666666666,37.48333333333333,0,,AWOU5IMX
629.8199999999998,538.4,78.76666666666667,37.48333333333333,38.699999999999996,0,,AWOU5IMX
638.6199999999998,557.3,80.86666666666666,38.699999999999996,40.21666666666666,0,,AWOU5IMX
660.0399999999997,577.8,84.01666666666667,40.21666666666666,41.83333333333333,0,,AWOU5IMX
669.7499999999998,597.4,86.91666666666667,41.83333333333333,43.03333333333333,0,,AWOU5IMX
678.0399999999997,619.3,89.53333333333333,43.03333333333333,44.1,0,,AWOU5IMX
684.3499999999997,639.0999999999999,92.16666666666667,44.1,45.21666666666667,0,,AWOU5IMX
694.9699999999997,647.9999999999999,94.96666666666667,45.21666666666667,46.550000000000004,0,,AWOU5IMX
734.7399999999997,664.8999999999999,97.43333333333334,46.550000000000004,47.300000000000004,0,,AWOU5IMX
744.9099999999996,683.4999999999999,99.55,47.300000000000004,48.1,0,,AWOU5IMX
768.9499999999996,694.0999999999999,101.91666666666667,48.1,49.28333333333333,0,,AWOU5IMX
777.0899999999996,712.9999999999999,104.03333333333333,49.28333333333333,50.83333333333333,0,,AWOU5IMX
782.6799999999996,720.9999999999999,107.13333333333334,50.83333333333333,51.96666666666666,0,,AWOU5IMX
822.1899999999996,742.2999999999998,109.53333333333333,51.96666666666666,53.599999999999994,0,,AWOU5IMX
828.6599999999996,750.6999999999998,112.3,53.599999999999994,54.55,0,,AWOU5IMX
833.7099999999996,759.1999999999998,114.55,54.55,55.8,0,,AWOU5IMX
870.1799999999996,769.0999999999998,117.43333333333334,55.8,57.06666666666666,0,,AWOU5IMX
894.6199999999997,777.6999999999998,120.1,57.06666666666666,57.766666666666666,0,,AWOU5IMX
916.3999999999996,797.3999999999999,121.86666666666666,57.766666666666666,58.96666666666667,0,,AWOU5IMX
941.4899999999997,809.0999999999999,124.43333333333334,58.96666666666667,60.28333333333334,0,,AWOU5IMX
971.7399999999997,827.1999999999999,127.55,60.28333333333334,61.21666666666667,0,,AWOU5IMX
997.6699999999996,839.4,129.7,61.21666666666667,62.5,0,,AWOU5IMX
1004.2599999999996,852.5,131.9,62.5,63.18333333333333,0,,AWOU5IMX
1009.9699999999997,872.1,134.21666666666667,63.18333333333333,64.81666666666666,0,,AWOU5IMX
1035.5499999999997,883.3000000000001,137.08333333333334,64.81666666666666,66.3,0,,AWOU5IMX
1043.1699999999996,894.1,139.9,66.3,67.14999999999999,0,,AWOU5IMX
